Comentario,Polaridad,Aspecto
las estructura se entiende pero pudo estar mas ordenada,0,estructura
se utilizaron correctamente todos los procesos,1,procesos
se cumplen con los requerimientos indicados,1,requerimientos
la caratula sin errores ortograficos,1,caratula
al diagrama le hace falta el codigo de caso de uso pero si es posible entender,0,diagrama
no tiene herencia,-1,herencia
el funcionamiento es correcto,1,funcionamiento
la caratula sin errores ortograficos,1,caratula
tiene la mayoria de los elementos no contiene codigo los casos de uso,0,mayoria
la mayoria de los procesos tienen secuencia logica el proceso de generar informe no tiene aplicado de forma correcta el extend en el caso de uso imprimir reporte,0,mayoria
la mayoria de los casos de usos tienen funcionalidad correcta y cumple con los requerimientos especificados el caso de uso generar informe tiene una funcionalidad incorrecta,0,mayoria
la caratula tiene errores ortograficos,-1,caratula
los casos de uso no contiene codigo y no existe ningun tipo de herencia,-1,casos
la secuencia logica es acertada y la aplicacion de include y extend funciona correctamente,1,secuencia
al no existir herencia entre actores no hay formas de que el empleado registre a un nuevo usuario para que pueda hacer el contrato no se encuentra la validacion de codigo de contrato para que el empleado puedo hacer el contrato no existen casos de uso para que el empleado pueda anular un contrato el gerente contiene dos casos de uso que pueden ser extraidos de casos de uso anteriores,-1,herencia
la caratula sin errores ortograficos,1,caratula
se visualizan casi todos los casos y estan bien dirigidas las flecha de los includes y extend,1,casos
en esta parte cumple con casi todo lo estipulado y no cuenta con herencia,0,parte
falta un genera contrato no cumple con todo lo estipulado en el caso practico,-1,contrato
la caratula contiene los datos correctos pero en el documento les falto colocar la numeracion del enunciado del problema,0,caratula
la elementos se visualiza correctamente aplicaron bien la sintaxis entre los caso de uso pero no estan ordenados,0,elementos
la solucion de ellos tienen la mayoria de los requerimientos y secuencia logica,1,solucion
incluye todos los requerimientos del caso de uso y existe funcionalidad entre los objetos,1,requerimientos
la caratula no tiene errores ortograficos,1,caratula
le falta llevar el orden en los casos de uso,-1,orden
los procedimientos son incorrectos,-1,procedimientos
si posee fuincionalidad pero hay que mejorar en las relaciones con los cu,0,fuincionalidad
la caratula esta totalmente adecuada describe los requerimientos de lo que se desea obtener sin errores ortograficos,1,caratula
el diagrama de caso de uso esta bastante adecuado contiene casi todos los casos de usos pero presenta errores en los objetos y no tiene aplicada la herencia,0,diagrama
el diagrama de caso de uso esta adecuado pero no se esta aplicando bien la herencia y el uso de include y extends,0,diagrama
el diagrama de caso de uso tiene funcionamiento de algunos de los requerimientos pero en el caso del gerente el no registra contrato,0,diagrama
la caratula no tiene errores ortograficos,1,caratula
cumple con los elementos una sintaxis correcta pero no se encuentran los codigos de caso de uso por prioridad,0,elementos
cumple con la mayoria de los procesos le falta herencia de los actores empleado y gerente y la secuencia logica se encuentra de una manera clara y entendible,1,mayoria
cumple con todos los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con los objetos dados,1,requerimientos
la caratula esta completa y el enunciado sin errores,1,caratula
la estructura se muestra bien clara sin errores de sintaxis pero se observa que no tiene el codigo de caso de uso,0,estructura
el procedimiento se observa bastante simple con aplicacion de includes y nula aplicacion de extends ademas de que algunos casos de usos terminan sin algun proceso,0,procedimiento
la funcionalidad podria darse correctamente pero no abarca todos los requerimientos,0,funcionalidad
el documento consta de todo lo necesario dentro de la caratula y asi mismo no contiene errores ortograficos en el contenido mostrando una buena presentacion,1,documento
dentro de la estructura no contiene todos los elementos esta incompleto mostrando la falta de aplicacion de herencia codigos de caso de uso y eso muestra un desorden dentro de lo que se desea mostrar,-1,estructura
en el procedimiento se indica que no se hace uso de la aplicacion del extend aunque no es obligatorio es recomendable al menor tener uno o dos,-1,procedimiento
no incluye todos los requerimientos del caso de uso pero los casos de uso mostrando si tienen una funcionalidad de algunos requerimientos,0,requerimientos
en la caratula le falto poner la carrera en que estudia,-1,caratula
le falto los codigos de asignacion,-1,codigos
aplica bien los include y la herencia pero falto mas logica,0,include
en el funcionamiento hace include de algo que no se a registrado,-1,funcionamiento
la caratula tiene errores ortograficos,-1,caratula
en los casos de usos no existe el codigo de prioridad que lo identifique,-1,casos
no existe la aplicacion de extend entre los casos de usos no hay una secuencia logica entre el gerente y los casos de usos consultar usuario consultar automovil y consultar furgoneta,-1,aplicacion
no existe la funcionalidad de gestionar las altas y bajas de los vehiculos por parte del gerente por lo tanto no hay una secuencia logica ya que no se puede reservar un automovil si no existe un registro anterior,-1,funcionalidad
la caratula tiene errores ortograficos,-1,caratula
si cumple con la secuencia y indica cada caso de uso con verbo  objeto,1,secuencia
no tiene ningun extend no tiene su respectivo codigo generar reserva deberia ser extend y en el cliente no se puede eliminar una reserva sin antes haberla consultado,-1,ningun
el funcionamiento es parcialmente correcto el gerente debe consultas informes tambien,0,funcionamiento
la caratula tiene errores ortograficos,-1,caratula
las estructura se entiende y esta ordenada,1,estructura
falta implementar herencia,-1,herencia
el funcionamiento es parcialmente no es correcto no hay validacion para saber si el usuario ya esta logueado,-1,funcionamiento
la caratula no contiene el nombre de la carrera ni del trabajo entregado y su enunciado consta con menos de  errores ortograficos,-1,caratula
muestra la mayoria elementos aunque usa objetos que no estan previamente creados no usa la sintaxis correcta para describir los casos de uso y tampoco se le ha colocado sus respectivos codigos por lo cual no se encuentran ordenados la herencia entre actores no cumplen con los requerimientos solicitados,-1,mayoria
como se menciona anteriormente la herencia no esta aplicada de forma correspondiente con los requerimientos y no hace uso del extend y existen errores en la aplicacion de los casos de uso porque no se tiene claro que hace el cliente y el empleado,-1,herencia
el funcionamiento presenta varios errores motivo por el cual la solucian tiene una funcionalidad incorrecta de algunos de los requerimientos descritos en el caso de estudio,-1,funcionamiento
el documento contiene falta ortografica en la fecha del periodo academico el documento no contiene el tema del trabajo,-1,documento
el documento no contiene los codigos de sus respectivos casos de usos,-1,documento
el documento no cumple con los requerimientos del uso del extends,-1,documento
el documento obtiene la solucion de una manera concreta,1,documento
la caratula no tiene errores ortograficos,1,caratula
tiene alguno de los elementos le falta codigo en los casos de uso no esta ordenado,0,elementos
la mayoria de los procesos no tienen secuencia logica y aplican objetos diferentes lo que no permite una buena comunicacion entre casos de uso existe aplicacion de incluye de forma incorrecta,-1,mayoria
la mayoria de los casos de usos tienen funcionalidad incorrecta y no cumple con los requerimientos especificados,-1,mayoria
en este parte no cumple con todo lo que estipula en el archivo falta nombre de carrera y error de al escribir el periodo,-1,parte
se visualizan casi todos los casos la aplicacion de include es incorrecto y no existen extend,-1,casos
en la parte del caso de uso generar reserva y consultar codigo esta de mas y estan realizando una cadena de includes,-1,parte
falta en la parte del gerente dar alta y baja a la flota y parte del cliente falta el autenticar no cumple con todo lo estipulado en el caso practico,-1,parte
la caratula tiene errores ortograficos,-1,caratula
los casos de uso no cuenta con codigo y utiliza mal la flecha de herencia,-1,casos
solo aplica include y herencia,0,aplica
el funcionamiento es correcto,1,funcionamiento
la caratula presenta errores no contiene nombre de la carrera ni tema del trabajo el periodo academico existe error en el ano academico,-1,caratula
no contiene el uso de extends ni herencia los casos de usos no tienen codigo y por ende no tiene orden,-1,uso
la aplicacion del include presenta errores al invocar casos de usos en los cuales se deberian usar extends para enviar informacion lo cual da a entender que no tiene una secuencia logica,-1,aplicacion
el caso de uso no tiene funcionamiento el caso de autor gerente le faltan la funcionalidad de dar de alta y baja,-1,caso
no contiene el nombre de la carrera ni el tema,-1,nombre
se visualiza una sintaxis correcta no contienen los codigos de caso de uso por prioridad,0,sintaxis
cumple con los procesos include y extend y una herencia y estan conectados por una secuencia correcta a excepcion de un caso de uso en el actor gerente donde se encuentra un caso de uso no interactua con ninguno,1,procesos
cumple con los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con los objetos dados a excepcion de generar_informe porque se encuentra solo y no especifica que necesita hacer,1,requerimientos
la caratula cuenta con todo lo requerido y el enunciado esta comprensible y sin errores ortograficos,1,caratula
el diagrama cuenta con todos los elementos pero en la sintaxis los casos de uso no tiene codigo por lo que dificulta un poco el entendimiento del diagrama,0,diagrama
cuando el cliente autentica usuario invoca a una consulta por lo que no le veo un registro de cliente,-1,cliente
la funcionalidad del diagrama no muestra algunas cosas que se piden en los requerimientos como por ejemplo cancelar la reserva,-1,funcionalidad
la caratula esta complete y el enunciado esta bien detallado,1,caratula
los casos de uso no cuenta con un codigo y el entendimiento es un poco complicado no esta ordenado,-1,casos
su secuencia logica esta bien definida con las comunicaciones de caso de uso,1,secuencia
el diagrama cumple con la mayoria de los requerimientos que el sistema requiere como el de gestionar reserva y registrar con un contrato,1,diagrama
la caratula no tiene errores ortograficos,1,caratula
existe una buena comprension del caso de uso debido a que se encuentran la mayorias de elementos descritos en el caso de estudio,1,comprension
la mayoria de los procesos cuentan con una secuencia logica al empleado le falta introducir el codigo de la reserva para registrar con exito un contrato,1,mayoria
la gran parte de los requerimientos cumple una funcionalidad idonea en base al caso de estudio,1,parte
la caratula cumple con todos los nombres descritos en la rubrica y ademas no posee errores ortograficos,1,caratula
el diagrama posee todos los elementos la sintaxis de todos los casos de uso es correcta exceptuando que no presenta el codigo de los casos de uso,0,diagrama
el proceso se cumple correctamente pero flaquea en la logica de algunos casos de uso,0,proceso
algunos casos de uso tienen diferente verbos al momento de realizar include tiene la mayoria de requerimientos,0,casos
la caratula consta de exceso de contenido mas de lo pedido el enunciado no contiene errores ortograficos,0,caratula
la estructura es facil de comprender la sintaxis no esta muy clara existen sentidos de flechas incorrectos y no se encuentra ordenado ya que no cuenta con el codigo en el objeto,-1,estructura
en el proceso de aplicar include existen incoherencia en la aplicacion la secuencia logica si esta clara,-1,proceso
no incluye todos los requerimientos del caso de estudio existen casos que no demuestran funcionalidad con el actor,-1,requerimientos
la caratula no tiene errores ortograficos,1,caratula
no tiene el codigo de caso de uso,-1,codigo
la solucion presentada tiene pocos procesos con secuencia logica,-1,solucion
el diagrama muestra todos los requisitos solicitados,1,diagrama
la caratula cumple todos los requerimientos sin faltas de ortografia,1,caratula
las estructura se entiende pero esta muy desordenada,0,estructura
falta implementar herencia y mas extends,-1,herencia
se cumplen con los requerimientos indicados,1,requerimientos
la caratula y el enunciado esta bien detallado como se pide en la rubrica de calificacion,1,caratula
al diagrama le hace falta el codigo de caso de uso pero si es posible entender,0,diagrama
algunos casos de uso que aplican include no tienen concordancia con respecto al objetos multiples objetos,-1,casos
si cumple con la mayoria de los requerimientos de forma correcta,1,mayoria
contiene caratula y enunciado correcto,1,caratula
tiene algunos elementos le falta codigo en los casos de uso la comunicacion entre algunos casos de uso es incorrecta,0,elementos
algunos procesos tienen secuencia logica el proceso registrar contrato no tiene secuencia logica,0,procesos
algunos casos de usos tienen funcionalidad correcta y cumple con los requerimientos especificados,0,casos
la caratula cumple con todos los requerimientos descritos en la rubrica y ademas no contiene errores ortograficos,1,caratula
los casos de estudio no contiene su respectiva numeracion para poder diferenciarlos,-1,casos
existen casos de uso que tienen include con las flechas en direccion contraria,-1,casos
el empleado no tiene un caso de uso para poder registrar a un nuevo usuario  ademas no hay casos de uso para que el empleado valide el codigo de reserva web de los vehiculos,-1,empleado
la caratula tiene la estructura adecuada,1,caratula
se visualizan todos los casos de uso tienen bien los include y extend pero no tienen el codigo del cada caso de uso,0,casos
en la parte de crear usuario es incorrecto deberia consultar para validar el usuario,-1,parte
falta en la parte del gerente dar alta y baja a la flota y parte del cliente falta cancelar reserva no cumple con todo lo estipulado en el caso practico,-1,parte
la caratula no tiene errores ortograficos,1,caratula
a la estructura le falta secuencia y no posee el orden en los casos de uso,-1,estructura
la solucion presentada tiene pocos procesos con secuencia logica,-1,solucion
falta mejorar el funcionamiento de los casos de uso,-1,funcionamiento
la caratula esta totalmente adecuada describe los requerimientos de lo que se desea obtener sin errores ortograficos,1,caratula
el diagrama de caso de uso esta bastante adecuado contiene casi todos los casos de usos,1,diagrama
el diagrama de caso de uso tiene la mayoria de los procesos de forma correcta y se estan aplicando bien la herencia y el uso de include y extends,1,diagrama
el diagrama de caso de uso tiene funcionamiento pero en el caso del gerente le falta la funcionalidad de dar de baja,0,diagrama
la caratula tiene la estructura adecuada,1,caratula
se visualiza una sintaxis correcta pero no contienen los codigos de caso de uso,0,sintaxis
cumple con los procesos include extend y una herencia correcta y estan conectados por una secuencia correcta,1,procesos
cumple con los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con todos los objetos,1,requerimientos
la caratula cumple con todos los parametros requeridos para la presentacion del trabajo y el documento cuenta con el enunciado de los requerimientos que describe la ejecucion del trabajo no existen errores ortograficos observacion debido a que el documentos esta impreso en bn algunos elementos del documento son complicados de leer,1,caratula
los casos de uso cumplen con la sintaxis de verbo en infinitivo  objeto no existen codigos para cada caso de uso por lo que no se determina una secuencia u orden de casos de uso no se aplica herencia existe una isla,-1,casos
se aplica los estereotipos includes y extends de manera correcta entre casos de uso no existe aplicacion de herencia entre actores,0,estereotipos
una de las funcionalidades registrar informes esta asociada con el actor incorrecto empleado quien hace los informes es el gerente y no especifica sobre que realiza los informes existe una isla,-1,funcionalidades
el documento no tiene la facultad  tampoco la carrera ni el tema del trabajo,-1,documento
no tiene un orden de codigo ni comunicacion entre todos los actores ,-1,orden
no tiene correcta aplicacion de include extend y herencia de todos los casos de usos,-1,aplicacion
no tiene una correcta funcionalidad entre todos los casos de usos,-1,funcionalidad
la caratula contiene errores ortograficos,-1,caratula
no tiene una correcta visualizacion de la solucion contiene la mayoria de los elementos pedidos pero hay uso de herencias,0,visualizacion
no existen herencias la mayoria de los casos de uso existe comunicacion y si existe el correcto uso de extend e include si hay comunicacion entre los casos de uso pero en cierto casos de uso hay un mal uso del include,0,herencias
al no encontrar tanto errores cumple con lo requerido pero no llega a un alto nivel de funcionamiento,0,errores
contiene menos de un error ortografico no contiene nombre de carrera y tampoco su facultad,-1,error
su orden si lo considero correcto pero faltan los codigos de los caso de uso,0,orden
faltan las herencias entre actores la cual indica que un actor no puede usar los caso de uso de los otros dos restantes por lo consiguiente las asociacion de casos de usos con actores no es completa,-1,herencias
el funcionamiento es correcto,1,funcionamiento
no se puede visualizar bien los datos en la portada pero si contiene el enunciado,0,datos
no tiene un orden no se puede visualizar bien tiene datos que no concuerdan el uso de las flechas no se sabe con exactitud de donde hacia donde va,-1,orden
no se ha utilizado la herencia respectiva en el caso de estudio y no hay una buena comunicacion ya que no se utiliza el extends de la manera adecuada,-1,herencia
cumple con la mayoria de los requerimientos solicitados pero no se llega a la funcionalidad requerida,0,mayoria
existen algunos errores ortograficos en la caratula y en los casos de usos los demas puntos estan correctos,0,errores
la estructura esta bien contiene correctamente los actores y sus respectivas comunicaciones pero hace falta el ordenamiento de los casos de usos con sus respectivos codigos de acuerdo a la prioridad de cada uno,0,estructura
esta correctamente aplicado el uso de extends e includes pero se ha aplicado mal la herencia dandole funcionalidades que no respectan al empleado en cuanto a secuencia logica esta bien,0,uso
la mayoria tiene el funcionamiento correcto pero existe un caso de uso el cual maneja mal el objeto y al momento de abstraer los datos no encontrara nada de lo requerido lo cual no es correcto ademas no se apega a los requerimientos del caso de estudio dando funcionalidades que no respectan al empleado asi mismo realiza herencias entre actores las cuales nunca fueron descritas,0,mayoria
la caratula tiene errores ortograficos,-1,caratula
falta codigo de caso de uso,-1,codigo
falta herencia las flechas de los include y extend son poco visibles,-1,flechas
los casos de uso presentan la mayoria de los requerimientos e interactuan de una manera correcta,1,casos
la caratula tiene errores ortograficos,-1,caratula
el trabajo no posee una enumeracion de los casos de uso y no lleva un orden no posee herencia,-1,trabajo
el trabajo no posee las flechas correspondiente de extend y include,-1,trabajo
el trabajo no posee una funcionalidad correcta a los requerimientos,-1,trabajo
la estructura de la caratula y su contenido son correctos y en la descripcion del problema no se han encontrado faltas ortograficas,1,estructura
los casos de uso cumplen la relacion verbo infinitivo y verbo no hay codigos de casos de uso y existe una isla no se puede visualizar las flechas de aplicacion del include y extend y no existe herencia entre actores,-1,casos
el diagrama presenta la aplicacion correcta entre casos de uso con include y extend aunque no hay existencia de herencia en el diagrama se puede ver una aplicacion logica y secuencial y una buena asociacion entre casos de uso por lo tanto la solucion tiene la mayoria de los procesos con secuencia logica,0,diagrama
incluye todos los requerimientos del caso de estudio el unico error es que vincula el registro de informes con el actor empleado cuando este corresponde al actor gerente aparte de esto los caso de uso demuestran funcionalidad e interaccion con el objeto,1,requerimientos
la caratula es ilegible debido a tu tonalidad negra no se puede identificar los datos pedidos,-1,caratula
posee casi todos los elementos requeridos a excepcion de los codigos de casos de usos y la herencia los cuales no se encuentran en el documento,1,elementos
posee las secuencias correspondientes a excepcion de la herencia en la cual no se encuentro yo se alcanza a distinguir,1,secuencias
aunque tiene una funcionalidad correcta la creacion y consulta de los informe no pertenece al actor empleado sino al actor gerente,0,funcionalidad
la caratula del trabajo consta con todo y cada uno de los parametros solicitados el enunciado describe los requerimientos sin ningun error ortografico,1,caratula
la estructura contiene todos los elementos solicitados la sintaxis no esta del todo correcta los verbos estan en infinitivo se combina de forma correcta el verbo y el objeto la comunicacion entre actores y casos de uso asi como entre casos de uso con otros casos de uso es correcta aplicando de forma correcta include y extends segun el enunciado no deberia haber herencia no existen islas y no se toma al sistema como un actor faltan los codigos en los casos de uso la estructura no esta ordenada ya que no hay codigos en cada caso de uso las lineas de conexion representan una asociacion adecuada entre el actor y los casos de uso asi como entre casos de uso,0,estructura
la solucion contiene la aplicacion de include y extend de forma correcta la herencia entre actores no se ha realizado de la forma correcta segun el analisis de los requerimientos no podria haber herencia entre los actores la solucion cuenta con un aplicacion logica y secuencial en la mayoria de las asociaciones entre actores y casos de usos por ejemplo el actor empleado no puede generar informes segun los requerimientos asi como el caso de uso reservarautomovil deberia actuar sobre el objeto alquiler y no sobre automovil,0,solucion
la solucion cumple con hacer funcionales la mayoria de los requerimientos representados en varios casos de uso de manera correcta exceptuando los errores en la herencia en la asignacion incorrecta de funcionalidades al actor empleado y la incorrecta representacion del alquiler del objeto automovil,0,solucion
la caratula no tiene errores ortograficos,1,caratula
tiene algunos de los elementos le falta codigo en los casos de uso no esta ordenado la comunicacion entre algunos casos de uso es incorrecta,-1,elementos
algunos procesos no tiene secuencia logica manipula objetos con nombres diferentes el extend esta aplicado de forma incorrecta,-1,procesos
algunos procesos no tiene funcionalidad correcta y no cumple con los requerimientos especificados,-1,procesos
el documento se encuentra bien estructurado pero tiene algunas falta ortografica en la parte de la caratula falta tildes en palabras claves,0,documento
los casos de uso le falta el codigo para poder distinguirlo por lo cual el resto del diagrama se encuentra bien estructurado,1,casos
la herencia entre el empleado y gerente no se encuentra en el enunciado por lo cual el gerente no debe tener las funcionalidades del empleado y el caso de uso reservar automovil no se encuentra bien definido,-1,herencia
el funcionamiento de los casos de uso se encuentran bien estructurados pero el empleado no puede generar un reporte el cual le corresponde al gerente,0,funcionamiento
muestra una buena presentacion consta de todo lo requerido dentro de la caratula y asi mismo libre de errores en el documento,1,presentacion
la estructura si consta de lo requerido en el caso de uso hay comunicacion entre caso de usos buen uso de las flechas y de lo demas,1,estructura
los procedimientos contienen todos los procesos aplicados de manera correcta asi mismo la secuencia logica aplicada habiendo una asociacion entre actores y casos de usos,1,procedimientos
el funcionamiento cumple con la mayoria de funcionalidades y requerimientos del caso de estudio,1,funcionamiento
la caratula esta completa y el enunciado sin errores,1,caratula
la estructura esta ordenada se observan todos los elementos y se observa claramente lo que se desea realizar,1,estructura
el procedimiento se observa bastante completo y bien aplicado en sus includes y extends,1,procedimiento
la funcionalidad no se ve afectada ya que el procedimiento esta correcto y ademas estan todos los requerimientos,1,funcionalidad
la caratula cumple con todos los nombres descritos en la rubrica ademas no posee errores ortograficos,1,caratula
el diagrama posee todos los elementos la sintaxis de todos los casos de uso se cumple tambien,1,diagrama
el proceso y la secuencia logica se cumplen totalmente,1,proceso
el diagrama posee todos los casos de uso solicitados en los requerimientos,1,diagrama
tener en cuenta las faltas ortograficas a pesar que sean letras en mayusculas en general esta muy bien realizada la caratula y el enunciado,1,cuenta
la estructura de la tarea esta muy bien realizada es muy entendible pero falta ordenar los casos de usos con su respectivo codigo que reflejan la prioridad de cada uno,0,estructura
esta correctamente aplicado el uso de extends e includes pero se ha aplicado mal la herencia tomando en cuenta que los requerimientos del caso no permiten realizarlo en cuanto a secuencia logica esta excelente,0,uso
el funcionamiento esta correcto pero existen un par de casos de usos que utilizan un objeto tratando de generalizar varios objetos lo cual no es correcto ademas no se apega a los requerimientos del caso de estudio realizando herencias entre actores las cuales nunca fueron descritas,0,funcionamiento
el documento del trabajo evaluado esta realizado de forma correcta aunque tiene informacion adicional a la solicitada razon por la cual tiene la calificacion maxima la caratula no describe los nombres del grupo ni de los integrantes y el enunciado tiene errores ortograficos menores a ,0,documento
la estructura del trabajo evaluado esta realizado correctamente por lo cual se hace de facil entendimiento al momento de revisarlo,1,estructura
la solucion realizada por el estudiante para el caso de estudio consta de todos los procedimientos y secuencia logica por lo cual su sistema funcionara de manera correcta,1,solucion
el funcionamiento del sistema como se describio en el comentario de arriba es correcto por lo cual cumple con los requerimientos solicitados en el caso de estudio,1,funcionamiento
la caratula y el enunciado esta bien detallado como se pide en la rubrica de calificacion,1,caratula
el diagrama cuenta con los elementos la sintaxis esta correcta y ademas se encuentra muy bien estructurada,1,diagrama
los procedimientos y la secuencia logica es correcta,1,procedimientos
